station,countAccidents,lat,lon
Fort,32,6.9340391,79.850372
Maradana,24,6.9292373,79.865796
Dematagoda,1,6.9374165,79.8790233
Kelaniya,5,6.9610592,79.8944725
Wanawasala,1,6.9755695,79.899258
Hunupitiya,33,6.9877406,79.9004906
Enderamulla,1,7.0004396,79.9068341
Horape,14,7.0165896,79.918322
Ragama,1,7.0299493,79.921428
Walpola,16,7.0472812,79.9311044
Bulugahagoda,19,7.0656313,79.9453578
Ganemulla,1,7.0684316,79.96067805000001
Yagoda,13,7.0747267,79.9739
Gampaha,1,7.0926162999999995,79.99274860923819
Daraluwa,17,7.1070543,80.0104022
Bemmulla,1,7.1224062,80.0204927
Veyangoda,29,7.1528888,80.0584325
Keenawala,19,7.1854854,80.0743794
Pallewala,1,7.1982159,80.0897136
Ganegoda,28,7.21302,80.1051152
Wijayarajadahana,1,7.2309324,80.1184778
Botale,22,7.2567498,80.1532119
Alawwa,21,7.2933377,80.2387243
Tismalpola,13,7.3217113,80.3431512
Yatagama,1,7.3186651,80.3641584
Rambukkana,30,7.3210536,80.3903192
Kadigamuwa,1,7.3180139,80.4334234
Ihalakotte,1,7.2887,80.469259
Kadugannawa,1,7.2577947,80.5208308
Peradeniya,1,7.25723245,80.59009599180636
Koshinna,16,7.2335885,80.5950939
Gampola,1,7.1621488,80.56703405014642
Nawalapitiya,1,7.0575474499999995,80.53507533708432
Inguruoya,1,7.01824515,80.54573515493539
Watawala,1,6.9620154,80.5262607
Hatton,1,6.893154,80.5979204
Kotagala,1,6.9275168,80.6081733
Talawakele,1,6.940092,80.6610284
watagoda,1,6.9688444,80.6529761
Radella,1,6.9448004,80.716728
Perakumpura,1,6.9198221,80.7536319
Ambewela,1,6.8773347,80.8143421
Pattipola,1,6.8558983,80.8306671
Ohiya,1,6.817752,80.8436555
Haputale,1,6.76830115,80.95757280013757
Bandarawela,1,6.8289592,80.9876495
Kinigama,1,6.8298161,81.0059772
Demodara,1,6.9028736,81.0629186
Uduwara,1,6.930429,81.0446442
Badulla,1,6.9798955,81.05967748819069
Kandy,16,7.2897057,80.6325461
Katugastota,18,7.3304389,80.6331868
Wattegama,16,7.3506962,80.6824572
Ukuwela,1,7.42025845,80.63423197480779
Matale,11,7.467978,80.6249611
Peralanda,1,7.0380791,79.9121475
Kandana,17,7.04929,79.9015367
Ja-Ela,16,7.077798400000001,79.8921473
Tudella,1,7.0929503,79.8909487
Kudahakapola,23,7.103881,79.889804
Seeduwa,14,7.1290592,79.8825145
Liyanagemulla,1,7.1472048,79.8781914
Katunayake,1,7.1674441,79.8718829
Kurana,1,7.1910954,79.862167
Negombo,7,7.21020605,79.84183638154965
kattuwa,1,7.2399344,79.8475421
Kochchikade,22,7.26426015,79.85714845000001
Lunuwila,11,7.346837949999999,79.86302325674407
Nattandiya,14,7.41436065,79.8662252
Walahapitiya,1,7.4391784,79.8591429
Kudawewa,12,7.4619937,79.8531594
Nelumpokuna,1,7.475414949999999,79.84504419376518
Madampe,29,7.496862699999999,79.8413861
Kakkapalliya,1,7.532751,79.8228083
Sawarana,11,7.5614974,79.805341
Chilaw,1,7.5755476,79.7910764
Manuwangama,28,7.6005521,79.8273142
Bangadeniya,1,7.6272658,79.828545
Madurankuliya,22,7.9020671,79.8204737
Palavi,13,7.9816689499999995,79.83281210338856
Puttalam,16,8.0226824,79.83784261593797
Noor Nagar,1,8.035971,79.8398157
Periyanagavillu,1,8.2280938,79.8675089
Girambe,17,7.3646656,80.3024553
Nailiya,1,7.4499947,80.3586472
Kurunegala,11,7.47704785,80.37424803370916
Wellawa,1,7.5597285,80.3661713
Ganewatte,1,7.6550423,80.3488215
Nagollagama,1,7.7535513,80.3146991
Timbiriyagedara,1,7.7813253,80.2977595
Randenigama,1,7.848542,80.2593862
Galgamuwa,1,8.0021668,80.2714997
Senarathgama,1,8.085871099999999,80.27770955
Thambuttegama,1,8.1543728,80.3038123
Talawa,1,8.231766,80.34833917729785
Srawasthipura,1,8.2988179,80.37699072352228
Anuradhapura,1,8.34623435,80.41108407482137
